TP,FP,TN,FN,TPR,FPR,TNR,FNR,est_p,est_r,est_f1,Gran,est_plagDetect
1,0,10999,0,1,0,1,0,1,1,0.875173293671158,1,0.875173293671158
1,0,10999,0,1,0,1,0,1,1,0.879390280078048,1,0.879390280078048
1,0,10999,0,1,0,1,0,1,1,0.870244843413078,1,0.870244843413078
1,0,10999,0,1,0,1,0,1,1,0.868735664203236,1,0.868735664203236
1,0,10999,0,1,0,1,0,1,1,0.893962999614561,1,0.893962999614561
1,0,10999,0,1,0,1,0,1,1,0.852716413574376,1,0.852716413574376
1,0,10999,0,1,0,1,0,1,1,0.845498132268304,1,0.845498132268304
1,0,10999,0,1,0,1,0,1,1,0.824904269966459,1,0.824904269966459
1,0,10999,0,1,0,1,0,1,1,0.911841798422738,1,0.911841798422738
1,0,10999,0,1,0,1,0,1,1,0.830936240127181,1,0.830936240127181
1,0,10999,0,1,0,1,0,1,1,0.866145373096217,1,0.866145373096217
1,0,10999,0,1,0,1,0,1,1,0.860993641309324,1,0.860993641309324
0,10,10989,1,0,0.000909173561232839,0.999090826438767,1,0,0,0.878424601251434,1,0.878424601251434
1,0,10999,0,1,0,1,0,1,1,0.88806638801403,1,0.88806638801403
1,0,10999,0,1,0,1,0,1,1,0.881515704912394,1,0.881515704912394
1,0,10999,0,1,0,1,0,1,1,0.908354960777314,1,0.908354960777314
1,0,10999,0,1,0,1,0,1,1,0.811543188299281,1,0.811543188299281
1,0,10999,0,1,0,1,0,1,1,0.826399214293703,1,0.826399214293703
1,0,10999,0,1,0,1,0,1,1,0.91206482066609,1,0.91206482066609
1,0,10999,0,1,0,1,0,1,1,0.842947641989006,1,0.842947641989006
1,0,10999,0,1,0,1,0,1,1,0.848868073692397,1,0.848868073692397
1,0,10999,0,1,0,1,0,1,1,0.804242843199088,1,0.804242843199088
1,0,10999,0,1,0,1,0,1,1,0.831442998183042,1,0.831442998183042
1,0,10999,0,1,0,1,0,1,1,0.87279937220545,1,0.87279937220545
1,0,10999,0,1,0,1,0,1,1,0.88417310410234,1,0.88417310410234
1,0,10999,0,1,0,1,0,1,1,0.877005183800628,1,0.877005183800628
1,0,10999,0,1,0,1,0,1,1,0.857636012352388,1,0.857636012352388
1,0,10999,0,1,0,1,0,1,1,0.864650234891273,1,0.864650234891273
1,0,10999,0,1,0,1,0,1,1,0.851454372970101,1,0.851454372970101
1,0,10999,0,1,0,1,0,1,1,0.86417384060753,1,0.86417384060753
1,0,10999,0,1,0,1,0,1,1,0.879593725952522,1,0.879593725952522
1,0,10999,0,1,0,1,0,1,1,0.896838040453053,1,0.896838040453053
1,0,10999,0,1,0,1,0,1,1,0.852801458679154,1,0.852801458679154
1,0,10999,0,1,0,1,0,1,1,0.903930699550479,1,0.903930699550479
1,0,10999,0,1,0,1,0,1,1,0.870673423805848,1,0.870673423805848
1,0,10999,0,1,0,1,0,1,1,0.845078780439311,1,0.845078780439311
1,0,10999,0,1,0,1,0,1,1,0.897892154181601,1,0.897892154181601
1,0,10999,0,1,0,1,0,1,1,0.872950625076539,1,0.872950625076539
0,5,10994,1,0,0.00045458678061642,0.999545413219384,1,0,0,0.865253111633485,1,0.865253111633485
1,0,10999,0,1,0,1,0,1,1,0.882398589566763,1,0.882398589566763
1,0,10999,0,1,0,1,0,1,1,0.886634495957861,1,0.886634495957861
1,0,10999,0,1,0,1,0,1,1,0.872490799805632,1,0.872490799805632
1,0,10999,0,1,0,1,0,1,1,0.859824982160011,1,0.859824982160011
1,0,10999,0,1,0,1,0,1,1,0.909543208868917,1,0.909543208868917
1,0,10999,0,1,0,1,0,1,1,0.893386657353644,1,0.893386657353644
1,0,10999,0,1,0,1,0,1,1,0.851769804506674,1,0.851769804506674
1,0,10999,0,1,0,1,0,1,1,0.870867000080844,1,0.870867000080844
1,0,10999,0,1,0,1,0,1,1,0.858684190423956,1,0.858684190423956
1,0,10999,0,1,0,1,0,1,1,0.893636143540692,1,0.893636143540692
1,0,10999,0,1,0,1,0,1,1,0.85960865082488,1,0.85960865082488
1,0,10999,0,1,0,1,0,1,1,0.822634797283199,1,0.822634797283199
1,0,10999,0,1,0,1,0,1,1,0.902951063661224,1,0.902951063661224
1,0,10999,0,1,0,1,0,1,1,0.859051884941041,1,0.859051884941041
1,0,10999,0,1,0,1,0,1,1,0.852387964635106,1,0.852387964635106
1,0,10999,0,1,0,1,0,1,1,0.859320562940093,1,0.859320562940093
1,0,10999,0,1,0,1,0,1,1,0.87987040676868,1,0.87987040676868
1,0,10999,0,1,0,1,0,1,1,0.874698509295564,1,0.874698509295564
1,0,10999,0,1,0,1,0,1,1,0.850373228412226,1,0.850373228412226
1,0,10999,0,1,0,1,0,1,1,0.849061359436789,1,0.849061359436789
1,0,10999,0,1,0,1,0,1,1,0.860739728908531,1,0.860739728908531
0,9,10990,1,0,0.000818256205109555,0.99918174379489,1,0,0,0.87808439182643,1,0.87808439182643
1,0,10999,0,1,0,1,0,1,1,0.875210414818974,1,0.875210414818974
1,0,10999,0,1,0,1,0,1,1,0.844363649754733,1,0.844363649754733
1,0,10999,0,1,0,1,0,1,1,0.870739671963716,1,0.870739671963716
1,0,10999,0,1,0,1,0,1,1,0.851133258678203,1,0.851133258678203
1,0,10999,0,1,0,1,0,1,1,0.907483908213353,1,0.907483908213353
1,0,10999,0,1,0,1,0,1,1,0.869206937689026,1,0.869206937689026
1,0,10999,0,1,0,1,0,1,1,0.903949332753786,1,0.903949332753786
1,0,10999,0,1,0,1,0,1,1,0.900107478195127,1,0.900107478195127
1,0,10999,0,1,0,1,0,1,1,0.926046211558073,1,0.926046211558073
1,0,10999,0,1,0,1,0,1,1,0.868221168884029,1,0.868221168884029
1,0,10999,0,1,0,1,0,1,1,0.881358545727335,1,0.881358545727335
1,0,10999,0,1,0,1,0,1,1,0.876706715991086,1,0.876706715991086
1,0,10999,0,1,0,1,0,1,1,0.849829015367567,1,0.849829015367567
1,0,10999,0,1,0,1,0,1,1,0.869108660410339,1,0.869108660410339
1,0,10999,0,1,0,1,0,1,1,0.828096455906009,1,0.828096455906009
0,10,10989,1,0,0.000909173561232839,0.999090826438767,1,0,0,0.831959667175711,1,0.831959667175711
1,0,10999,0,1,0,1,0,1,1,0.87712891539047,1,0.87712891539047
1,0,10999,0,1,0,1,0,1,1,0.91316863438483,1,0.91316863438483
1,0,10999,0,1,0,1,0,1,1,0.887500356471163,1,0.887500356471163
